,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,normalized_page_rank,probability,mass_equivalent,normalized_velocity,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk,Phase Factor,,Transmission frequency,,,m,x,,y,tunneling
70,822,loveiswhereits2,false (human account),human,7/19/2021,https://twitter.com/loveiswhereits2/status/1417197879261810689,44,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,4.30E-15,,8.26E-16,2.14E-19,1.51E-19,0.000728332,0.001195029,0.99,305.6688427,301.647434,,,7.06E-01,80,5.64E+01,57.44,28.71929907
71,818,BBCNews,spammer,bot,7/19/2021,https://twitter.com/BBCNews/status/1417247750224232452,42,-1.88E-05,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,4.10E-15,,7.89E-16,2.05E-19,1.44E-19,0,0.000179254,1.01,305.6688427,308.91709,,,7.02E-01,80,5.62E+01,57.21,28.60256098
72,698,BeverlyDHolmes,false (human account),human,8/6/2021,https://twitter.com/BeverlyDHolmes/status/1423510606116753414,41,1.78E-15,2.61E-96,3.19E-06,2,3.19E-06,3.64E-06,0.002292211,-0.203839815,0.005388401,4.01E-15,,7.70E-16,2.00E-19,1.41E-19,0.002184996,0.002292211,1.02,305.6688427,312.364504,,,7.05E-01,80,5.64E+01,57.42,28.71
73,912,pinopire43,false (human account),human,5/18/2021,https://twitter.com/pinopire43/status/1394776704745345027,38,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,3.71E-15,,7.13E-16,1.85E-19,1.30E-19,0.000728332,0.001195029,1.06,305.6688427,324.748316,,,7.03E-01,80,5.62E+01,57.28,28.63810811
74,919,AllieLucas1971,false (human account),human,5/20/2021,https://twitter.com/AllieLucas1971/status/1395476842639933441,35,0,6.50E-85,1.06E-05,2,1.06E-05,1.11E-05,0.003389393,-0.101513789,0.007967595,3.42E-15,,6.57E-16,1.71E-19,1.20E-19,0.003641661,0.003389393,1.11,305.6688427,338.236763,,,7.02E-01,80,5.61E+01,57.25,28.62517544
75,910,AlfaBravo005,false (human account),human,5/22/2021,https://twitter.com/AlfaBravo005/status/1396144490721730564,31,0,1.23E-104,1.06E-06,2,1.06E-06,1.34E-06,0.00174362,-0.255002829,0.004098804,3.03E-15,,5.82E-16,1.51E-19,1.06E-19,0.001456664,0.00174362,1.18,305.6688427,359.34578,,,7.02E-01,80,5.62E+01,57.34,28.6694702
76,731,raroberts2010,spammer,bot,8/19/2021,https://twitter.com/raroberts2010/status/1428256312534597636,30,-1.88E-05,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,2.93E-15,,5.63E-16,1.46E-19,1.03E-19,0,0.000179254,1.2,305.6688427,365.426512,,,7.05E-01,80,5.64E+01,57.64,28.81917808
77,1165,HetrickBarry,spammer,bot,5/25/2021,https://twitter.com/HetrickBarry/status/1397268840321540101,28,-0.004862989,0.00037146,0,2,0,0,0.000651054,-0.356898341,0.001530461,2.74E-15,,5.26E-16,1.36E-19,9.61E-20,0.036235429,0.000651054,1.24,305.6688427,377.884067,,,7.07E-01,80,5.65E+01,57.77,28.88470588
78,889,Laban471,false (human account),human,5/26/2021,https://twitter.com/Laban471/status/1397581628864700421,27,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,2.64E-15,,5.07E-16,1.32E-19,9.26E-20,0.000728332,0.001195029,1.26,305.6688427,384.974443,,,7.02E-01,80,5.61E+01,57.38,28.69060606
79,1342,NH_2_NC,false (human account),human,11/5/2021,https://twitter.com/NH_2_NC/status/1456415102576562178,27,0,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,2.64E-15,,5.07E-16,1.32E-19,9.26E-20,0,0.000179254,1.26,305.6688427,384.974443,,,7.02E-01,80,5.61E+01,57.38,28.69060606
80,1164,NYLockdown,spammer,bot,5/25/2021,https://twitter.com/NYLockdown/status/1397265703837782018,26,0,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,2.54E-15,,4.88E-16,1.27E-19,8.92E-20,0,0.000179254,1.28,305.6688427,392.479524,,,7.02E-01,80,5.62E+01,57.47,28.73448819
81,1163,l11432,spammer,bot,5/25/2021,https://twitter.com/l11432/status/1397259095946809356,24,0,0.00037146,0,2,0,0,0.000651054,-0.356898341,0.001530461,2.34E-15,,4.51E-16,1.17E-19,8.24E-20,0.036235429,0.000651054,1.34,305.6688427,408.908308,,,7.04E-01,80,5.63E+01,57.68,28.84094017
82,1162,drmassee,spammer,bot,5/25/2021,https://twitter.com/drmassee/status/1397257157687406592,22,-0.004862989,0.00037146,0,2,0,0,0.000651054,-0.356898341,0.001530461,2.15E-15,,4.13E-16,1.07E-19,7.55E-20,0.036235429,0.000651054,1.4,305.6688427,426.593892,,,7.06E-01,80,5.64E+01,57.85,28.92429907
83,1161,EdwinRankin,spammer,bot,5/25/2021,https://twitter.com/EdwinRankin/status/1397252644125675520,20,-0.004862989,8.37E-66,0,2,0,0,0.000689055,-0.353354271,0.001619792,1.95E-15,,3.76E-16,9.75E-20,6.86E-20,0.004369993,0.000689055,1.47,305.6688427,447.936608,,,7.04E-01,80,5.63E+01,57.76,28.87858974
84,977,EynoufElizabeth,spammer,bot,5/25/2021,https://twitter.com/EynoufElizabeth/status/1397251500850782215,18,-0.004862989,0.00037146,0,2,0,0,0.000651054,-0.356898341,0.001530461,1.76E-15,,3.38E-16,8.77E-20,6.18E-20,0.036235429,0.000651054,1.54,305.6688427,471.495475,,,7.05E-01,80,5.64E+01,57.91,28.95700114
85,918,IBelieveMothers,false (human account),human,5/22/2021,https://twitter.com/IBelieveMothers/status/1395908333610180610,17,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,1.66E-15,,3.19E-16,8.28E-20,5.83E-20,0.000728332,0.001195029,1.59,305.6688427,485.489475,,,7.04E-01,80,5.63E+01,57.92,28.95925121
86,1344,ussuricat1,false (human account),human,9/2/2021,https://twitter.com/ussuricat1/status/1433501851245236243,13,0,4.60E-90,7.43E-06,2,7.43E-06,9.69E-06,0.002059518,-0.225541378,0.004841399,1.27E-15,,2.44E-16,6.34E-20,4.46E-20,0.002601186,0.002059518,1.82,305.6688427,555.049866,,,7.03E-01,80,5.63E+01,58.10,29.04880126
87,868,PatriotDany,false (human account),human,5/26/2021,https://twitter.com/PatriotDany/status/1397383435853967360,12,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,1.17E-15,,2.25E-16,5.85E-20,4.12E-20,0.000728332,0.001195029,1.89,305.6688427,578.283674,,,7.04E-01,80,5.63E+01,58.23,29.11594017
88,916,LoFaSho24,false (human account),human,5/18/2021,https://twitter.com/LoFaSho24/status/1394706370298064904,12,0,7.27E-05,0,2,0,0,0.000721137,-0.350362228,0.001695208,1.17E-15,,2.25E-16,5.85E-20,4.12E-20,0.044400527,0.000721137,1.89,305.6688427,578.283674,,,7.04E-01,80,5.63E+01,58.23,29.11594017
89,697,CBmdnc,false (human account),human,8/7/2021,https://twitter.com/CBmdnc/status/1423890900841795587,11,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,1.07E-15,,2.07E-16,5.36E-20,3.77E-20,0.000728332,0.001195029,1.98,305.6688427,604.702792,,,7.03E-01,80,5.63E+01,58.25,29.12432836
90,867,Sbartol3,false (human account),human,5/26/2021,https://twitter.com/Sbartol3/status/1397380162170277892,11,0,0.006719332,0,2,0,0,0.000703372,-0.35201899,0.001653448,1.07E-15,,2.07E-16,5.36E-20,3.77E-20,0.062551844,0.000703372,1.98,305.6688427,604.702792,,,7.03E-01,80,5.63E+01,58.25,29.12432836
91,887,SmithMEGA007,false (human account),human,7/15/2021,https://twitter.com/SmithMEGA007/status/1415557971367456768,10,0,1.23E-104,1.06E-06,2,1.06E-06,1.34E-06,0.00174362,-0.255002829,0.004098804,9.77E-16,,1.88E-16,4.87E-20,3.43E-20,0.001456664,0.00174362,2.07,305.6688427,632.829303,,,7.04E-01,80,5.63E+01,58.41,29.2074846
92,733,sgibbsters,false (human account),human,8/16/2021,https://twitter.com/sgibbsters/status/1427242982764331008,9,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,8.79E-16,,1.69E-16,4.39E-20,3.09E-20,0.000728332,0.001195029,2.18,305.6688427,667.174479,,,7.04E-01,80,5.63E+01,58.49,29.24489749
93,917,CrashingJustice,false (human account),human,5/23/2021,https://twitter.com/CrashingJustice/status/1396271085054697473,9,0,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,8.79E-16,,1.69E-16,4.39E-20,3.09E-20,0,0.000179254,2.18,305.6688427,667.174479,,,7.04E-01,80,5.63E+01,58.49,29.24489749
94,848,DonnaOw66990971,false (human account),human,5/24/2021,https://twitter.com/DonnaOw66990971/status/1396788766379896836,5,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,4.88E-16,,9.39E-17,2.44E-20,1.72E-20,0.000728332,0.001195029,2.93,305.6688427,895.414147,,,7.05E-01,80,5.64E+01,59.32,29.66172131
,,,,,,,degree,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mean,806.0631579,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Standard Error,398.7300523,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Median,124,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mode,150,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Standard Deviation,3886.339819,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sample Variance,15103637.19,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kurtosis,64.75060855,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skewness,7.803840067,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Range,34667,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Minimum,5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Maximum,34672,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sum,76576,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Count,95,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Largest(1),34672,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Smallest(1),5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Confidence Level(95.0%),791.6878658,,,,,,,,,,,,,,,,,,,,,,,,,
