,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,mass_equivalent,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk
21,778,DutchDL,false (human account),human,7/21/2021,https://twitter.com/DutchDL/status/1417771031964626944,370,0,1.23E-104,1.06E-06,2.00E+00,1.06E-06,1.34E-06,1.74E-03,3.61E-14,6.95E-15,1.80E-18,1.27E-18,1.46E-03,1.74E-03
22,869,107devorah,false (human account),human,7/17/2021,https://twitter.com/107devorah/status/1416518060345892871,345,0,7.20E-03,2.87E-03,2.00E+00,2.87E-03,3.70E-03,4.70E-03,3.37E-14,6.48E-15,1.68E-18,1.18E-18,6.36E-02,4.70E-03
23,804,fuzzyface,false (human account),human,7/19/2021,https://twitter.com/fuzzyface/status/1417051749077053441,330,0,1.34E-73,2.97E-05,2.00E+00,2.97E-05,2.93E-05,5.04E-03,3.22E-14,6.20E-15,1.61E-18,1.13E-18,5.83E-03,5.04E-03
24,943,LoveTahoe1,false (human account),human,7/27/2021,https://twitter.com/LoveTahoe1/status/1419831129612251138,309,0,2.79E-65,6.90E-05,2.00E+00,6.90E-05,7.07E-05,6.59E-03,3.02E-14,5.80E-15,1.51E-18,1.06E-18,8.07E-03,6.59E-03
25,753,deltazebedee1,false (human account),human,7/21/2021,https://twitter.com/deltazebedee1/status/1417673313493659651,306,0,1.96E-70,1.49E-05,2.00E+00,1.49E-05,1.75E-05,2.78E-03,2.99E-14,5.75E-15,1.49E-18,1.05E-18,4.46E-03,2.78E-03
26,970,DDonP3,private_account,bot,7/24/2021,https://twitter.com/DDonP3/status/1419030011734937600,304,-4.86E-03,2.67E-80,7.43E-06,2.00E+00,7.43E-06,1.02E-05,1.38E-03,2.97E-14,5.71E-15,1.48E-18,1.04E-18,2.45E-03,1.38E-03
27,940,takapirulainen,spammer,bot,7/18/2021,https://twitter.com/takapirulainen/status/1416800776492625924,297,0,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,2.90E-14,5.58E-15,1.45E-18,1.02E-18,0.00E+00,1.79E-04
28,742,sfbtears,spammer,bot,10/16/2021,https://twitter.com/sfbtears/status/1449453138558308354,265,-1.88E-05,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,2.59E-14,4.98E-15,1.29E-18,9.09E-19,7.28E-04,1.20E-03
29,974,NoSurrender200,other,bot,7/24/2021,https://twitter.com/NoSurrender200/status/1418988876908089353,249,-1.88E-05,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,2.43E-14,4.68E-15,1.21E-18,8.54E-19,0.00E+00,1.79E-04
30,967,texaspatriette,false (human account),human,7/24/2021,https://twitter.com/texaspatriette/status/1418976540927401987,210,0,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,2.05E-14,3.94E-15,1.02E-18,7.21E-19,7.28E-04,1.20E-03
31,819,ninskiberry,false (human account),human,7/19/2021,https://twitter.com/ninskiberry/status/1417226279192043523,196,0,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,1.91E-14,3.68E-15,9.55E-19,6.73E-19,7.28E-04,1.20E-03
32,836,moonbeam696,false (human account),human,7/21/2021,https://twitter.com/moonbeam696/status/1417958298121297921,195,0,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,1.90E-14,3.66E-15,9.50E-19,6.69E-19,7.28E-04,1.20E-03
33,834,AndersonPolaris,false (human account),human,7/21/2021,https://twitter.com/AndersonPolaris/status/1417902892896325632,191,0,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,1.87E-14,3.59E-15,9.31E-19,6.55E-19,7.28E-04,1.20E-03
34,938,Rac_helz,false (human account),human,7/18/2021,https://twitter.com/Rac_helz/status/1416800457029267461,189,0,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,1.85E-14,3.55E-15,9.21E-19,6.49E-19,7.28E-04,1.20E-03
35,1310,CobyJayJr43,spammer,bot,11/16/2021,https://twitter.com/CobyJayJr43/status/1460638108668633088,186,-4.86E-03,3.39E-06,2.05E-03,2.00E+00,2.05E-03,2.67E-03,3.62E-03,1.82E-14,3.49E-15,9.06E-19,6.38E-19,3.77E-02,3.62E-03
36,936,Max65752957,false (human account),human,7/18/2021,https://twitter.com/Max65752957/status/1416693190455922693,185,0,1.23E-104,1.06E-06,2.00E+00,1.06E-06,1.34E-06,1.74E-03,1.81E-14,3.47E-15,9.02E-19,6.35E-19,1.46E-03,1.74E-03
37,712,babibelle33,false (human account),human,8/25/2021,https://twitter.com/babibelle33/status/1430586492376784907,180,0,5.18E-90,6.37E-06,2.00E+00,6.37E-06,6.87E-06,2.84E-03,1.76E-14,3.38E-15,8.77E-19,6.18E-19,2.91E-03,2.84E-03
38,924,Caring_Canuck,false (human account),human,7/18/2021,https://twitter.com/Caring_Canuck/status/1416661371345846272,161,0,3.20E-04,4.13E-04,2.00E+00,4.13E-04,5.50E-04,1.32E-03,1.57E-14,3.02E-15,7.85E-19,5.52E-19,4.97E-02,1.32E-03
39,782,PantsClock,false (human account),human,7/19/2021,https://twitter.com/PantsClock/status/1417058833537585156,153,0,6.88E-77,2.23E-05,2.00E+00,2.23E-05,2.23E-05,4.49E-03,1.49E-14,2.87E-15,7.46E-19,5.25E-19,5.10E-03,4.49E-03
40,581,VanderleydeSo14,private_account,bot,8/30/2021,https://twitter.com/VanderleydeSo14/status/1432415992286744583,150,-1.68E-05,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,1.47E-14,2.82E-15,7.31E-19,5.15E-19,0.00E+00,1.79E-04
41,963,tvegaw,false (human account),human,7/23/2021,https://twitter.com/tvegaw/status/1418656330311774211,150,0,2.61E-96,3.19E-06,2.00E+00,3.19E-06,3.64E-06,2.29E-03,1.47E-14,2.82E-15,7.31E-19,5.15E-19,2.18E-03,2.29E-03
42,816,justletmebeme1,false (human account),human,7/18/2021,https://twitter.com/justletmebeme1/status/1416908310368985091,149,0,3.29E-03,8.25E-04,2.00E+00,8.25E-04,1.07E-03,1.83E-03,1.46E-14,2.80E-15,7.26E-19,5.11E-19,6.01E-02,1.83E-03
43,849,DixieGenX,false (human account),human,5/24/2021,https://twitter.com/DixieGenX/status/1396717985746804737,136,0,7.59E-03,5.29E-03,2.00E+00,5.29E-03,6.95E-03,7.39E-03,1.33E-14,2.55E-15,6.63E-19,4.67E-19,6.44E-02,7.39E-03
44,574,sir_lars,false (human account),human,10/7/2021,https://twitter.com/sir_lars/status/1446059885548953601,133,0,6.88E-77,2.23E-05,2.00E+00,2.23E-05,2.23E-05,4.49E-03,1.30E-14,2.50E-15,6.48E-19,4.56E-19,5.10E-03,4.49E-03
45,831,elofan1276,false (human account),human,7/22/2021,https://twitter.com/elofan1276/status/1418333361601458177,133,0,1.23E-104,1.06E-06,2.00E+00,1.06E-06,1.34E-06,1.74E-03,1.30E-14,2.50E-15,6.48E-19,4.56E-19,1.46E-03,1.74E-03
46,749,Jaye1222,false (human account),human,7/21/2021,https://twitter.com/Jaye1222/status/1417673584588333056,125,0,1.53E-70,3.19E-06,2.00E+00,3.19E-06,4.19E-06,1.81E-03,1.22E-14,2.35E-15,6.09E-19,4.29E-19,2.97E-03,1.81E-03
47,689,1SweetSoldier,false (human account),human,8/15/2021,https://twitter.com/1SweetSoldier/status/1426969431809437696,124,0,1.30E-80,1.59E-05,2.00E+00,1.59E-05,1.62E-05,3.94E-03,1.21E-14,2.33E-15,6.04E-19,4.26E-19,4.37E-03,3.94E-03
48,891,laureenrobinso1,false (human account),human,5/23/2021,https://twitter.com/laureenrobinso1/status/1396312428426764288,110,0,8.08E-03,3.68E-03,2.00E+00,3.68E-03,4.71E-03,5.72E-03,1.07E-14,2.07E-15,5.36E-19,3.77E-19,7.07E-02,5.72E-03
49,827,JackJackedMe,other,bot,7/23/2021,https://twitter.com/JackJackedMe/status/1418443715459354627,99,-1.68E-05,2.61E-96,3.19E-06,2.00E+00,3.19E-06,3.64E-06,2.29E-03,9.67E-15,1.86E-15,4.82E-19,3.40E-19,2.18E-03,2.29E-03
50,838,BaringMyClaws,false (human account),human,7/21/2021,https://twitter.com/BaringMyClaws/status/1417987339545026561,99,-4.86E-03,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,9.67E-15,1.86E-15,4.82E-19,3.40E-19,0.00E+00,1.79E-04
51,825,KyleJayBonnell,false (human account),human,7/22/2021,https://twitter.com/KyleJayBonnell/status/1418308262194147342,95,0,1.23E-104,1.06E-06,2.00E+00,1.06E-06,1.34E-06,1.74E-03,9.28E-15,1.78E-15,4.63E-19,3.26E-19,1.46E-03,1.74E-03
52,747,j_windsong,spammer,bot,10/17/2021,https://twitter.com/j_windsong/status/1449845992430444551,92,-1.88E-05,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,8.99E-15,1.73E-15,4.48E-19,3.16E-19,7.28E-04,1.20E-03
53,935,Vicmot,false (human account),human,7/18/2021,https://twitter.com/Vicmot/status/1416714128387887106,91,0,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,8.89E-15,1.71E-15,4.43E-19,3.12E-19,7.28E-04,1.20E-03
54,839,momJenRodriguez,other,bot,5/25/2021,https://twitter.com/momJenRodriguez/status/1397253171534311424,90,-1.88E-05,1.13E-79,2.65E-05,2.00E+00,2.65E-05,3.08E-05,3.75E-03,8.79E-15,1.69E-15,4.39E-19,3.09E-19,4.24E-03,3.75E-03
55,927,mattlargey,false (human account),human,7/18/2021,https://twitter.com/mattlargey/status/1416860939178151938,83,0,3.23E-03,0.00E+00,2.00E+00,0.00E+00,0.00E+00,6.41E-04,8.11E-15,1.56E-15,4.04E-19,2.85E-19,6.00E-02,6.41E-04
56,926,Andreopeeneilan,false (human account),human,7/18/2021,https://twitter.com/Andreopeeneilan/status/1416876962707124224,82,0,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,8.01E-15,1.54E-15,4.00E-19,2.81E-19,0.00E+00,1.79E-04
57,723,globalism_no,spammer,bot,8/27/2021,https://twitter.com/globalism_no/status/1431396057339080708,80,-1.88E-05,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,7.82E-15,1.50E-15,3.90E-19,2.75E-19,0.00E+00,1.79E-04
58,909,val_ic,false (human account),human,7/18/2021,https://twitter.com/val_ic/status/1416624031562977281,79,0.00E+00,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,7.72E-15,1.48E-15,3.85E-19,2.71E-19,7.28E-04,1.20E-03
59,814,mynameisnotkim1,private_account,bot,7/19/2021,https://twitter.com/mynameisnotkim1/status/1416932498295119882,78,-1.68E-05,1.23E-104,1.06E-06,2.00E+00,1.06E-06,1.34E-06,1.74E-03,7.62E-15,1.46E-15,3.80E-19,2.68E-19,1.46E-03,1.74E-03
60,738,Voyeur80370397,false (human account),human,10/17/2021,https://twitter.com/Voyeur80370397/status/1449663889180921857,72,0.00E+00,2.61E-96,3.19E-06,2.00E+00,3.19E-06,3.64E-06,2.29E-03,7.03E-15,1.35E-15,3.51E-19,2.47E-19,2.18E-03,2.29E-03
61,959,Sayyestolifeno1,false (human account),human,8/5/2021,https://twitter.com/Sayyestolifeno1/status/1423343791214366722,69,0.00E+00,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,6.74E-15,1.30E-15,3.36E-19,2.37E-19,7.28E-04,1.20E-03
62,0,Left_of_You,spammer,bot,5/17/2021,https://twitter.com/Left_of_You/status/1394373947454590987,66,-4.86E-03,1.68E-40,1.34E-04,2.00E+00,1.34E-04,1.73E-04,3.05E-03,6.45E-15,1.24E-15,3.22E-19,2.26E-19,9.25E-03,3.05E-03
