,value,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,before_percolation,after_percolation,page_rank,random_walk,mass_equivalent,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality
0,Total,76576.0,-0.05391493707421979,0.8893153163308333,0.18632986437733973,1.362014194804962,176.0,0.18632986437733973,0.25498715126176985,0.42539721471324465,0.42539721471324465,7.480674540714913e-12,1.437761476162935e-12,3.7317558369744395e-16,2.627686062721644e-16
1,Mean,806.0631578947368,-0.0005675256534128399,0.009361213856114034,0.001961366993445681,1.362014194804962,1.8526315789473684,0.001961366993445681,0.0026840752764396825,0.004477865418034154,0.004477865418034154,7.874394253384119e-14,1.5134331328030895e-14,3.928164038920463e-18,2.765985329180678e-18
2,Standard Deviation,3865.831286134094,0.0023180983881175773,0.07194272430468684,0.008684557442143278,1.362014194804962,0.3544728050627945,0.008684557442143278,0.012391442423575356,0.010665830385351849,0.010665830385351849,3.776512965012864e-13,7.258335897081346e-14,1.883924266975202e-17,1.3265502234914143e-17
