timestamp,node,user_type,bot_type,user_screen_name,,,
5/17/2021 19:27,0,bot,spammer,Left_of_You,,,
5/17/2021 19:29,1,bot,spammer,Left_of_You,,,
5/17/2021 19:29,2,bot,spammer,Left_of_You,,,
5/17/2021 19:28,3,bot,spammer,Left_of_You,,,
5/17/2021 19:28,4,bot,spammer,Left_of_You,,,
5/17/2021 19:28,5,bot,spammer,Left_of_You,,,
8/11/2021 20:26,6,bot,spammer,danny086756661,,,
8/11/2021 20:26,17,bot,spammer,danny086756661,,,
8/11/2021 20:26,18,bot,spammer,danny086756661,,,
8/11/2021 20:26,19,bot,spammer,danny086756661,,,
8/11/2021 20:25,20,bot,spammer,danny086756661,,,
8/11/2021 20:25,21,bot,spammer,danny086756661,,,
8/11/2021 20:24,22,bot,spammer,danny086756661,,,
8/11/2021 20:24,23,bot,spammer,danny086756661,,,
8/11/2021 20:24,24,bot,spammer,danny086756661,,,
8/11/2021 20:24,25,bot,spammer,danny086756661,,,
8/11/2021 20:24,26,bot,spammer,danny086756661,,,
8/11/2021 20:26,27,bot,spammer,danny086756661,,,
8/11/2021 20:23,28,bot,spammer,danny086756661,,,
8/17/2021 20:12,29,bot,spammer,danny086756661,,,
8/17/2021 5:32,30,bot,spammer,danny086756661,,,
8/17/2021 5:32,31,bot,spammer,danny086756661,,,
8/17/2021 5:20,32,bot,spammer,danny086756661,,,
8/17/2021 5:20,36,bot,spammer,danny086756661,,,
8/17/2021 5:20,37,bot,spammer,danny086756661,,,
8/22/2021 3:10,38,bot,spammer,danny086756661,,,
8/22/2021 3:10,39,bot,spammer,danny086756661,,,
8/22/2021 3:10,40,bot,spammer,danny086756661,,,
8/22/2021 3:10,42,bot,spammer,danny086756661,,,
8/22/2021 3:10,44,bot,spammer,danny086756661,,,
8/22/2021 3:09,46,bot,spammer,danny086756661,,,
8/21/2021 13:00,47,bot,spammer,danny086756661,,,
8/21/2021 13:00,48,bot,spammer,danny086756661,,,
8/21/2021 13:00,49,bot,spammer,danny086756661,,,
7/21/2021 15:29,50,bot,spammer,danny086756661,,,
7/21/2021 15:29,51,bot,spammer,danny086756661,,,
7/21/2021 15:24,57,bot,spammer,danny086756661,,,
7/21/2021 15:24,58,bot,spammer,danny086756661,,,
7/21/2021 14:56,59,bot,spammer,danny086756661,,,
7/21/2021 14:56,60,bot,spammer,danny086756661,,,
7/21/2021 14:56,61,bot,spammer,danny086756661,,,
7/21/2021 14:15,63,bot,spammer,danny086756661,,,
7/21/2021 14:15,64,bot,spammer,danny086756661,,,
7/21/2021 14:15,65,bot,spammer,danny086756661,,,
7/22/2021 21:03,66,bot,spammer,danny086756661,,,
7/22/2021 20:44,67,bot,spammer,danny086756661,,,
7/22/2021 20:23,69,bot,spammer,danny086756661,,,
7/22/2021 18:04,72,bot,spammer,danny086756661,,,
7/22/2021 18:04,73,bot,spammer,danny086756661,,,
7/22/2021 5:24,74,bot,spammer,danny086756661,,,
7/22/2021 5:19,75,bot,spammer,danny086756661,,,
7/22/2021 5:19,76,bot,spammer,danny086756661,,,
7/22/2021 5:19,77,bot,spammer,danny086756661,,,
7/22/2021 21:07,78,bot,spammer,danny086756661,,,
7/22/2021 21:07,79,bot,spammer,danny086756661,,,
7/22/2021 21:07,82,bot,spammer,danny086756661,,,
7/23/2021 5:28,83,bot,spammer,danny086756661,,,
7/23/2021 5:28,84,bot,spammer,danny086756661,,,
7/23/2021 5:10,85,bot,spammer,danny086756661,,,
7/23/2021 5:09,86,bot,spammer,danny086756661,,,
7/23/2021 0:04,87,bot,spammer,danny086756661,,,
7/23/2021 0:03,88,bot,spammer,danny086756661,,,
7/23/2021 5:28,89,bot,spammer,danny086756661,,,
7/21/2021 16:01,90,bot,spammer,danny086756661,,,
7/21/2021 20:25,91,bot,spammer,danny086756661,,,
7/21/2021 20:20,92,bot,spammer,danny086756661,,,
7/21/2021 18:44,93,bot,spammer,danny086756661,,,
7/21/2021 18:14,94,bot,spammer,danny086756661,,,
7/21/2021 18:14,95,bot,spammer,danny086756661,,,
7/21/2021 18:07,96,bot,spammer,danny086756661,,,
7/21/2021 17:50,97,bot,spammer,danny086756661,,,
