,username,bot_type,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,page_rank,random_walk
68,behemoth_mark,other,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
69,BBCWorld,other,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
70,Teresa12369786,spammer,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
71,wirtualnapolska,spammer,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
72,bfialek,spammer,0.001341868,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
73,EricTopol,spammer,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
74,CellCellPress,spammer,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
75,WHO_Europe,spammer,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
76,HurricaneA10,spammer,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
77,WHOWPRO,self_declared,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
78,WHOEMRO,other,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
79,opsoms,spammer,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
80,highstockss,spammer,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
81,GarryHaney4,spammer,-3.45E-06,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
82,Caleb55159410,spammer,0.004839522,7.51E-40,0,0.011078315,2,0.000659081,0.000659081
83,nypost,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
84,GovTimWalz,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
85,CobyJayJr42,,-3.45E-06,0.000336663,0.004863687,0.050699916,2,0.00395664,0.00395664
86,RollingStone,self_declared,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
87,FaceTheNation,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
88,UtdBarney,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
89,Hezbo3,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
90,united,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
91,gravelmath,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
92,PressSec,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
93,doublekx3,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
94,Jereme45,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
95,thehill,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
96,tone_we,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
97,Crippsy1969,self_declared,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
98,PostOpinions,self_declared,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
99,News12NJ,self_declared,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
100,krccanuck,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
101,CanonTakeMeAway,other,0.001341868,1.15E-163,0,0,1,0.000179254,0.000179254
102,BreesAnna,self_declared,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
103,MyMomSaysImFun1,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
104,EpochTimes,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
105,Parislll,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
106,trapperjohn151,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
107,DebbieLemieux10,self_declared,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
108,Breaking911,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
109,mercola,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
110,sanaayesha__,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
111,Hollywood1114,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
112,SpringSteps,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
113,imatrumpgirl,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
114,nan5678,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
115,LynnWal12343534,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
116,DCGreenZone1,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
117,HaloTink,private_account,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
118,TrumpTacos4,private_account,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
119,DrWoodcockFDA,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
120,JoeDun87079636,private_account,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
121,benwakana46,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
122,JimWoodAD2,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
123,ClaireFosterPHD,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
124,Tjeerd001,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
125,WebMD,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
126,cvspharmacy,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
127,thatswhatsup333,spammer,0.004787586,1.15E-163,0,0,1,0.000179254,0.000179254
128,shakeshack,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
129,NYCMayor,other,-3.45E-06,3.30E-07,0,0.033267062,2,0.000692086,0.000692086
130,CD6Nury,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
131,FinancialTimes,self_declared,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
132,beadacratiain,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
133,SRichards0228,private_account,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
134,sexygirl798,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
135,MarJeanSolo,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
136,NBCOlympics,other,0.006153982,1.15E-163,0,0,1,0.000179254,0.000179254
137,Bishop96991058,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
138,ScoJo760,private_account,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
139,HellOnHeels2020,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
140,HalcyonCat,other,0.001353386,1.15E-163,0,0,1,0.000179254,0.000179254
