,to_user_type,from_user_type,to_user_bot_type,from_user_bot_type,canonical_url,date_published,domain,from_user_id,from_user_screen_name,id,is_mention,site_type,title,to_user_id,to_user_screen_name,tweet_created_at,tweet_id,tweet_type,url_id,site_domain,url_raw,original_query,from_user_botscore,to_user_botscore,tweet_url
0,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1339173794586521601,Left_of_You,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,28785486,ABC,2021-05-17T19:27:09.000Z,1394373947454590987,reply,270527883,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.19,0.72,https://twitter.com/Left_of_You/status/1394373947454590987
1,bot,bot,other,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1339173794586521601,Left_of_You,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,9300262,politico,2021-05-17T19:29:54.000Z,1394374636113174534,reply,270527883,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.19,0.49,https://twitter.com/Left_of_You/status/1394374636113174534
2,bot,bot,other,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1339173794586521601,Left_of_You,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,208120290,US_FDA,2021-05-17T19:29:37.000Z,1394374565007085569,reply,270527883,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.19,0.61,https://twitter.com/Left_of_You/status/1394374565007085569
3,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1339173794586521601,Left_of_You,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,759251,CNN,2021-05-17T19:28:44.000Z,1394374343073976327,reply,270527883,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.19,0.76,https://twitter.com/Left_of_You/status/1394374343073976327
4,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1339173794586521601,Left_of_You,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,17134268,CBSMornings,2021-05-17T19:28:24.000Z,1394374258831278091,reply,270527883,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.19,0.38,https://twitter.com/Left_of_You/status/1394374258831278091
5,bot,bot,other,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1339173794586521601,Left_of_You,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,426909329,CDCDirector,2021-05-17T19:28:03.000Z,1394374170042060806,reply,270527883,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.19,0.68,https://twitter.com/Left_of_You/status/1394374170042060806
6,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,18831926,DrEricDing,2021-08-11T20:26:36.000Z,1425554263107727360,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.27,https://twitter.com/danny086756661/status/1425554263107727360
17,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1546267296,leepen_lee,2021-08-11T20:26:36.000Z,1425554263107727360,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.05,https://twitter.com/danny086756661/status/1425554263107727360
18,bot,bot,other,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,2662929002,evolv67,2021-08-11T20:26:12.000Z,1425554164021534723,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.97,https://twitter.com/danny086756661/status/1425554164021534723
19,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,955243645082488834,masmalinois,2021-08-11T20:26:00.000Z,1425554111680843776,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.22,https://twitter.com/danny086756661/status/1425554111680843776
